Feature,Importance
queue_proxy,0.855347473126838
kWhDelivered,0.0783934183504796
hour,0.0289831726965471
active_sessions,0.0152443963765774
month,0.012148661802559
day_num,0.00756513718725383
weekend,0.00231774045974507
